順位,店舗コード,店舗短縮名,規格容量,売上金額,構成比,売上点数,平均単価,売上客数,客単価,粗利,特売金額,特売点数,組合せ売上,組合せ点数,ＰＯＳ売価,本部指示売価,金額ＰＩ,数量ＰＩ
-,000824,富ヶ谷店,-,6303528,100.00,14236,442.79,11232,561.21,2673355,300792,531,0,0,-,-,89.62,20.24
順位,店舗コード,店舗短縮名,規格容量,売上金額,構成比,売上点数,平均単価,売上客数,客単価,粗利,特売金額,特売点数,組合せ売上,組合せ点数,ＰＯＳ売価,本部指示売価,金額ＰＩ,数量ＰＩ

1,4946952100978,肉のハナマサ　お肉屋さんのハンバーグ　　　　　　,定貫　　　　　　　　,425520,6.75,1505,282.74,1183,359.70,122338,0,0,0,0,322,322,6.05,2.14
2,4902586053080,香燻あらびきポークウインナー大袋　　　　　　　　,５１０ｇ　　　　　　,301631,4.79,369,817.43,351,859.35,115733,234906,294,0,0,971,971,4.29,0.52
3,0214110000000,バラベーコンブロック（カット）　　　　　　　　　,不定貫　　　　　　　,243255,3.86,351,693.03,265,917.94,242904,0,0,0,0,149,1,3.46,0.50
4,8421395355889,ＪＭハモンセラーノ　　　　　　　　　　　　　　　,２５０ｇ　　　　　　,215600,3.42,220,980.00,103,2093.20,91850,0,0,0,0,1058,1058,3.07,0.31
5,4902586246062,香薫あらびきポークウインナー　　　　　　　　　　,９０ｇ×２　　　　　,188104,2.98,648,290.28,627,300.01,70743,65886,237,0,0,300,300,2.67,0.92
6,4984352148633,肉のハナマサ　串フランク６０ｇ×１０本　　　　　,６００ｇ　　　　　　,170880,2.71,192,890.00,73,2340.82,51342,0,0,0,0,961,961,2.43,0.27
7,4901985349244,プロ仕様　肉屋のあらびきポークソーセージ　　　　,５００ｇ　　　　　　,166056,2.63,189,878.60,144,1153.17,63051,0,0,0,0,950,950,2.36,0.27
8,4970320113482,肉のハナマサ　ロースハムスライス１１０ｇ×３　　,１１０ｇｘ３　　　　,161460,2.56,270,598.00,227,711.28,54000,0,0,0,0,646,646,2.30,0.38
9,4946952100695,ＪＭスーパーウインナー　　　　　　　　　　　　　,５００ｇ　　　　　　,151638,2.41,381,398.00,220,689.26,65913,0,0,0,0,430,430,2.16,0.54
10,0214174000000,ＪＭ冷凍徳用ハンバーグ　　　　　　　　　　　　　,定貫　　　　　　　　,96000,1.52,96,1000.00,93,1032.26,95904,0,0,0,0,1,1,1.36,0.14
11,4901985108247,ベーコンスライス１６０ｇ　　　　　　　　　　　　,１６０ｇ　　　　　　,94752,1.50,288,329.00,259,365.84,37728,0,0,0,0,355,355,1.35,0.41
