順位,店舗コード,店舗短縮名,規格容量,売上金額,構成比,売上点数,平均単価,売上客数,客単価,粗利,特売金額,特売点数,組合せ売上,組合せ点数,ＰＯＳ売価,本部指示売価,金額ＰＩ,数量ＰＩ
-,000824,富ヶ谷店,-,13185696,100.00,15723,838.62,13379,985.55,12894902,0,0,0,0,-,-,187.46,22.35
順位,店舗コード,店舗短縮名,規格容量,売上金額,構成比,売上点数,平均単価,売上客数,客単価,粗利,特売金額,特売点数,組合せ売上,組合せ点数,ＰＯＳ売価,本部指示売価,金額ＰＩ,数量ＰＩ

1,0212504000000,豚小間切肉　　　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,1634870,12.40,1272,1285.28,1159,1410.59,1633598,0,0,0,0,0,1,23.24,1.81
2,0212922000000,豚バラブロック（解凍）　　　　　　　　　　　　　,不定貫　　　　　　　,1180348,8.95,1018,1159.48,648,1821.52,1179330,0,0,0,0,0,1069,16.78,1.45
3,0212925000000,豚バラスライス（解凍）　　　　　　　　　　　　　,不定貫　　　　　　　,1017232,7.71,794,1281.15,614,1656.73,1016438,0,0,0,0,1501,1501,14.46,1.13
4,0212505000000,豚小間切肉（中）　　　　　　　　　　　　　　　　,不定貫　　　　　　　,562397,4.27,779,721.95,767,733.24,561618,0,0,0,0,0,1,8.00,1.11
5,0212926000000,豚バラカルビ（解凍）　　　　　　　　　　　　　　,不定貫　　　　　　　,502697,3.81,583,862.26,375,1340.53,502114,0,0,0,0,1501,1501,7.15,0.83
6,0212518000000,豚ミックス切落し　　　　　　　　　　　　　　　　,不定貫　　　　　　　,466820,3.54,590,791.22,563,829.17,466230,0,0,0,0,0,1,6.64,0.84
7,0212691000000,国産豚小間切肉　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,449122,3.41,642,699.57,606,741.13,448480,0,0,0,0,0,1,6.39,0.91
8,0212528000000,豚ロース切身　　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,445866,3.38,490,909.93,412,1082.20,445376,0,0,0,0,54,1,6.34,0.70
