順位,店舗コード,店舗短縮名,規格容量,売上金額,構成比,売上点数,平均単価,売上客数,客単価,粗利,特売金額,特売点数,組合せ売上,組合せ点数,ＰＯＳ売価,本部指示売価,金額ＰＩ,数量ＰＩ
-,000824,富ヶ谷店,-,9671871,100.00,17161,563.60,13555,713.53,8721047,11168,16,0,0,-,-,137.51,24.40
順位,店舗コード,店舗短縮名,規格容量,売上金額,構成比,売上点数,平均単価,売上客数,客単価,粗利,特売金額,特売点数,組合せ売上,組合せ点数,ＰＯＳ売価,本部指示売価,金額ＰＩ,数量ＰＩ

1,0213664000000,国産若鶏ムネ肉真空（２ｋｇ）　　　　　　　　　　,２Ｋｇ　　　　　　　,1575050,16.28,1445,1090.00,1200,1312.54,1560600,0,0,0,0,961,1,22.39,2.05
2,0213511000000,若鶏モモ肉（２ｋｇ）　　　　　　　　　　,２Ｋｇ　　　　　　　,1085400,11.22,1005,1080.00,709,1530.89,1084395,0,0,0,0,1069,1,15.43,1.43
3,0213681000000,国産若鶏モモ肉　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,860422,8.90,1270,677.50,1018,845.21,859152,0,0,0,0,0,1,12.23,1.81
4,0213512000000,若鶏モモ肉（解凍）　　　　　　　　　　　　　　　,不定貫　　　　　　　,810647,8.38,1490,544.06,1288,629.38,260837,0,0,0,0,0,1,11.53,2.12
5,0213665000000,国産若鶏ムネ肉　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,481813,4.98,933,516.41,814,591.91,480880,0,0,0,0,0,1,6.85,1.33
6,0213680000000,国産若鶏モモ肉真空（２ｋｇ）　　　　　　　　　　,２Ｋｇ　　　　　　　,435600,4.50,207,2104.35,150,2904.00,435393,0,0,0,0,0,1,6.19,0.29
7,0213666000000,国産若鶏皮なしムネ肉　　　　　　　　　　　　　　,不定貫　　　　　　　,386703,4.00,818,472.74,678,570.36,385885,0,0,0,0,0,1,5.50,1.16
8,0213729000000,国産若鶏ササミ　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,340584,3.52,1084,314.19,870,391.48,339500,0,0,0,0,0,1,4.84,1.54
9,0213530000000,若鶏手羽元（解凍）　　　　　　　　　　　　　　　,不定貫　　　　　　　,310473,3.21,759,409.06,631,492.03,309714,0,0,0,0,0,1,4.41,1.08
10,0213520000000,若鶏モモ小間切肉（解凍）　　　　　　　　　　　　,不定貫　　　　　　　,277188,2.87,642,431.76,494,561.11,276546,0,0,0,0,0,1,3.94,0.91
11,0213683000000,国産若鶏モモ角切　　　　　　　　　　　　,不定貫　　　　　　　,253515,2.62,582,435.59,430,589.57,252933,0,0,0,0,0,1,3.60,0.83
12,0213699000000,国産若鶏手羽中　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,241297,2.49,609,396.22,431,559.85,240688,0,0,0,0,0,1,3.43,0.87
13,0213673000000,国産若鶏ムネ挽肉　　　　　　　　　　　　　　　　,不定貫　　　　　　　,229585,2.37,327,702.09,297,773.01,229258,0,0,0,0,0,1,3.26,0.46
14,0213732000000,若鶏バラ凍ササミ（解凍）　　　　　　　　　　　　,不定貫　　　　　　　,221192,2.29,383,577.52,315,702.20,0,0,0,0,0,0,853,3.14,0.54
15,0213875000000,鶏もも肉角切り味付け（ガーリックぺッパーオイル）,不定貫　　　　　　　,196405,2.03,524,374.82,346,567.64,195881,0,0,0,0,0,1,2.79,0.74
16,0213521000000,若鶏モモ挽肉（解凍）　　　　　　　　　　　　　　,不定貫　　　　　　　,176640,1.83,249,709.40,214,825.42,176391,0,0,0,0,0,1,2.51,0.35
17,0213871000000,鶏もも肉角切り味付け（バジルオイル）　　　　　　,不定貫　　　　　　　,160460,1.66,434,369.72,339,473.33,160026,0,0,0,0,0,1,2.28,0.62
18,4984352130003,タイ産若鶏モモ肉（１ＫＧ）　　　　　　　　　　　,１０００Ｇ　　　　　,159842,1.65,229,698.00,206,775.93,59082,11168,16,0,0,754,842,2.27,0.33
19,0213515000000,若鶏モモ肉角切（解凍）　　　　　　　　　　　　,不定貫　　　　　　　,149535,1.55,499,299.67,408,366.51,149036,0,0,0,0,0,1,2.13,0.71
20,0213736000000,国産若鶏砂肝　　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,141293,1.46,608,232.39,430,328.59,140685,0,0,0,0,0,1,2.01,0.86
21,0213695000000,国産若鶏手羽元　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,138310,1.43,490,282.27,348,397.44,137820,0,0,0,0,0,1,1.97,0.70
22,0213906000000,鶏もも肉角切り味付け（タンドリーオイル）　　　　,不定貫　　　　　　　,129501,1.34,351,368.95,270,479.63,129150,0,0,0,0,0,1,1.84,0.50
23,0213710000000,国産若鶏中抜き　　　　　　　　　　　　　　　　　,定貫　　　　　　　　,127988,1.32,135,948.06,121,1057.75,127853,0,0,0,0,1,1,1.82,0.19
24,0213743000000,国産若鶏レバー　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,122310,1.26,543,225.25,388,315.23,121767,0,0,0,0,0,1,1.74,0.77
25,0213670000000,国産若鶏手羽トロ（肩肉）　　　　　　　　　　　　,不定貫　　　　　　　,116866,1.21,310,376.99,261,447.76,116556,0,0,0,0,0,1,1.66,0.44
26,0213723000000,国産若鶏手羽先　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,93385,0.97,364,256.55,223,418.77,93021,0,0,0,0,745,1,1.33,0.52
27,8859318202321,合鴨ムネ（定貫）　　　　　　　　　　　　　　　　,１　　　　　　　　　,63042,0.65,79,798.00,33,1910.36,30455,0,0,0,0,862,862,0.90,0.11
28,0213813000000,冷凍国産若鶏テール（ぼんじり）　　　　　　　　　,不定貫　　　　　　　,48748,0.50,171,285.08,151,322.83,48577,0,0,0,0,0,1,0.69,0.24
29,0213671000000,国産若鶏ムネ肉スライス　　　　　　　　　　　　　,不定貫　　　　　　　,48550,0.50,125,388.40,113,429.65,48425,0,0,0,0,0,1,0.69,0.18
30,0213594000000,冷凍若鶏骨付きモモ肉　　　　　　　　　　　　　　,不定貫　　　　　　　,41923,0.43,44,952.80,25,1676.92,41879,0,0,0,0,0,1,0.60,0.06
