順位,店舗コード,店舗短縮名,規格容量,売上金額,構成比,売上点数,平均単価,売上客数,客単価,粗利,特売金額,特売点数,組合せ売上,組合せ点数,ＰＯＳ売価,本部指示売価,金額ＰＩ,数量ＰＩ
-,000824,富ヶ谷店,-,16248578,100.00,14984,1084.40,11854,1370.73,15869465,0,0,0,0,-,-,231.01,21.30
順位,店舗コード,店舗短縮名,規格容量,売上金額,構成比,売上点数,平均単価,売上客数,客単価,粗利,特売金額,特売点数,組合せ売上,組合せ点数,ＰＯＳ売価,本部指示売価,金額ＰＩ,数量ＰＩ

1,0210137000000,牛肩ロースステーキ用　　　　　　　　　　　　　　,不定貫　　　　　　　,1394805,8.58,1050,1328.39,848,1644.82,1393755,0,0,0,0,0,1,19.83,1.49
2,0210111000000,牛ハラミ焼肉用　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,966680,5.95,754,1282.07,446,2167.44,965926,0,0,0,0,0,1,13.74,1.07
3,0210654000000,牛バラ切り落とし（解凍）　　　　　　　　　　　　,フテイカン　　　　　,760555,4.68,739,1029.17,578,1315.84,759816,0,0,0,0,0,1382,10.81,1.05
4,0210110000000,牛タンスライス　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,713787,4.39,552,1293.09,405,1762.44,713235,0,0,0,0,0,1,10.15,0.78
5,0210012000000,牛豚合挽肉（解凍）　　　　　　　　　　　　　　　,不定貫　　　　　　　,663521,4.08,902,735.61,844,786.16,662619,0,0,0,0,0,1,9.43,1.28
6,0210004000000,牛モモステーキ　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,661876,4.07,595,1112.40,469,1411.25,661281,0,0,0,0,0,1,9.41,0.85
7,0210694000000,牛サーロインステーキ（メキシコ産）　　　　　　　,不定貫　　　　　　　,642889,3.96,437,1471.14,382,1682.96,642452,0,0,0,0,0,1,9.14,0.62
8,0210040000000,牛豚合挽肉（解凍）　　　　　　　　　　　　　　　,不定貫　　　　　　　,604265,3.72,335,1803.78,309,1955.55,603930,0,0,0,0,0,107,8.59,0.48
9,0210989000000,牛豚合挽肉（大パック）　　　　　　　　　　　　　,不定貫　　　　　　　,584990,3.60,423,1382.96,368,1589.65,584567,0,0,0,0,1,1,8.32,0.60
10,0210017000000,牛モモ赤身ブロック　　　　　　　　　　　　　　　,不定貫　　　　　　　,562824,3.46,446,1261.94,289,1947.49,562378,0,0,0,0,0,1,8.00,0.63
11,0210011000000,牛赤身挽肉（荒挽き）（解凍）　　　　　　　　　　,不定貫　　　　　　　,512828,3.16,533,962.15,387,1325.14,512295,0,0,0,0,1,1,7.29,0.76
12,0210016000000,牛小間切肉　　　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,498696,3.07,552,903.43,462,1079.43,498144,0,0,0,0,0,1,7.09,0.78
13,0210846000000,牛タンねぎ塩焼き　　　　　　　　　　　　　　　　,不定貫　　　　　　　,482015,2.97,330,1460.65,272,1772.11,481685,0,0,0,0,0,1,6.85,0.47
14,0210655000000,牛バラカルビ焼肉用（解凍）　　　　　　　　　　　,フテイカン　　　　　,480288,2.96,425,1130.09,303,1585.11,225288,0,0,0,0,0,1382,6.83,0.60
15,0210667000000,牛バラ焼肉用（カイノミ）　　　　　　　　　　　　,不定貫　　　　　　　,461873,2.84,510,905.63,394,1172.27,461363,0,0,0,0,0,1,6.57,0.73
16,0210024000000,牛挽肉（解凍）　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,379844,2.34,534,711.32,431,881.31,379310,0,0,0,0,0,1,5.40,0.76
17,0210732000000,ラム焼肉用　　　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,370829,2.28,446,831.46,324,1144.53,370383,0,0,0,0,0,1,5.27,0.63
18,0210243000000,黒毛和牛モモ赤身ブロック　　　　　　　　　　　　,不定貫　　　　　　　,339382,2.09,204,1663.64,177,1917.41,339178,0,0,0,0,0,1,4.83,0.29
19,0210026000000,牛バラブロック　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,337680,2.08,237,1424.81,169,1998.11,337443,0,0,0,0,0,1,4.80,0.34
